name,tixa_url,ticketswap_url,bandsintown_url
Mezőgazdasági Múzeum,,https://www.ticketswap.com/location/magyar-mezogazdasagi-muzeum/55456,
Groupama Aréna,,https://www.ticketswap.com/location/groupama-arena/153955,https://www.bandsintown.com/v/10010268-groupama-arena
Akvárium Klub,https://www.tixa.hu/akvarium,https://www.ticketswap.com/location/akvarium-klub/13262,https://www.bandsintown.com/v/10025902-akvarium-klub
Nemzeti Atlétikai központ,,https://www.ticketswap.com/location/nemzeti-atletikai-kozpont/182337,
Három holló,https://www.tixa.hu/haromholloszinpad,https://www.ticketswap.com/location/harom-hollo-drei-raben/198127,
Mixát Udvar,https://www.tixa.hu/mixat-udvar-budapest,https://www.ticketswap.com/location/mixat-udvar/201744,
Nemzeti Táncszínház,,https://www.ticketswap.com/location/nemzeti-tancszinhaz/136141,
RaM-Art Színház,,https://www.ticketswap.com/location/ram-art-szinhaz/178761,
MOM Kulturális Központ,https://www.tixa.hu/MoMKult,,
Ludovika Aréna,,https://www.ticketswap.com/location/ludovika-arena/158263,
Corvin Mozi,https://www.tixa.hu/corvin-mozi,,
Átrium,https://www.tixa.hu/atrium_budapest,,
Mad Garden Csepel,,https://www.ticketswap.com/location/mad-garden-csepel/224454,
Szépművészeti Múzeum,,https://www.ticketswap.com/location/szepmuveszeti-muzeum/145419,
Magyar Zene Háza,https://www.tixa.hu/Magyar-Zene-Haza,https://www.ticketswap.com/location/magyar-zene-haza/169122,
Kobuci Kert,,https://www.ticketswap.com/location/kobuci-kert/14642,
Budapesti Történeti Múzeum,,https://www.ticketswap.com/location/budapesti-torteneti-muzeum-varmuzeum/167981,
Zeneakadémia,,https://www.ticketswap.com/location/zeneakademia/15921,
BOK Sportcsarnok,https://www.tixa.hu/symacsarnok,https://www.ticketswap.com/location/bok-csarnok/19912,
Barba Negra,https://www.tixa.hu/barba-negra_blue-stage,https://www.ticketswap.com/location/barba-negra/178374,https://www.bandsintown.com/v/10027142-barba-negra
Budapest Jazz Club,,https://www.ticketswap.com/location/budapest-jazz-club/14638,https://www.bandsintown.com/v/10005346-budapest-jazz-club
Dürer kert,https://www.tixa.hu/durerkert,https://www.ticketswap.com/location/durer-kert/14640,https://www.bandsintown.com/v/10002440
Mad Garden Buda,https://www.tixa.hu/mad-garden-buda,https://www.ticketswap.com/location/mad-garden-buda/192957,
A38 Hajó,https://www.tixa.hu/a38,https://www.ticketswap.com/location/a38-hajo/3362,https://www.bandsintown.com/v/10002429-a38-hajo
Budapest Park,https://www.tixa.hu/budapest_park,https://www.ticketswap.com/location/budapest-park/14639,https://www.bandsintown.com/v/10121097-budapest-park
Pap László Budapest Sportaréna,https://www.tixa.hu/arena,https://www.ticketswap.com/location/papp-laszlo-budapest-sportarena/14644,https://www.bandsintown.com/v/10006656-papp-laszlo-budapest-sportarena
Puskás Aréna,,https://www.ticketswap.com/location/puskas-arena/156799,https://www.bandsintown.com/v/10154422-puskas-arena
Magyar Nemzeti Galéria,,https://www.ticketswap.com/location/magyar-nemzeti-galeria/90063,
Budapesti Operettszínház,,https://www.ticketswap.com/location/budapesti-operettszinhaz/16447,
Tabán mozi,,https://www.ticketswap.com/location/taban-art-mozi/192246,
Turbina,https://www.tixa.hu/turbina-kulturalis-kozpont,,
Instant-Fogas Komplexum,https://www.tixa.hu/fogashaz_budapest,https://www.ticketswap.com/location/instant-fogas-komplexum/18068,
MVM Dome,https://www.tixa.hu/MVM-Dome,https://www.ticketswap.com/location/mvm-dome-budapesti-multifunkcionalis-sportcsarnok/168487,https://www.bandsintown.com/v/10277998-mvm-dome
Hagyományok Háza,,https://www.ticketswap.com/location/hagyomanyok-haza/168475,
Thália Színház,,https://www.ticketswap.com/location/thalia-szinhaz/16482,
Nemzeti Színház,,https://www.ticketswap.com/location/nemzeti-szinhaz/17315,
Fonó Budai Zeneház,,https://www.ticketswap.com/location/fono-budai-zenehaz/146179,https://www.bandsintown.com/v/10163425-fono-budai-zenehaz
Analog Music Hall,https://www.tixa.hu/analog_musichall,https://www.ticketswap.com/location/analog-music-hall/147257,
Barba Negra Red Stage,https://www.tixa.hu/barba-negra-red-stage,https://www.ticketswap.com/location/barba-negra/178374,
Vasas Székház,https://www.tixa.hu/vasas-szekhaz,https://www.ticketswap.com/location/vasas-szekhaz/186699,
